Hanna Lichman,Ukraine
Halyna Luhova,Ukraine
Olena Lukash,Ukraine
Valeriya Lutkovska,Ukraine
Iryna Lutsenko (politician),Ukraine
Yuliya Lyovochkina,Ukraine
Olena Lys,Ukraine
Yulia Lytvynenko,Ukraine
Hanna Maliar,Ukraine
Lubomyra Mandziy,Ukraine
Mariya Chorna,Ukraine
Oksana Markarova,Ukraine
Maria Matios,Ukraine
Jaanika Merilo,Ukraine
Iryna Mudra,Ukraine
Galyna Mykhailiuk,Ukraine
Olena Netetska,Ukraine
Maryna Nikitina,Ukraine
Hanna Novosad,Ukraine
Zlata Ognevich,Ukraine
Hanna Onyschenko,Ukraine
Svitlana Onyshchuk,Ukraine
Larisa Opanasyuk,Ukraine
Mariya Orlyk,Ukraine
Lesya Orobets,Ukraine
Tetiana Ostrikova,Ukraine
Roksolana Pidlasa,Ukraine
Tetiana Plachkova,Ukraine
Viktoriya Valentynivna Podhorna,Ukraine
Iryna Podoliak,Ukraine
Anastasia Prikhodko,Ukraine
Natalia Prykhodko,Ukraine
Anastasiya Radina,Ukraine
Anna Romanova,Ukraine
Nataliia Romanova,Ukraine
Kira Rudik,Ukraine
Ruslana,Ukraine
Tetiana Rychkova,Ukraine
Olha Saladukha,Ukraine
Nadiya Savchenko,Ukraine
Iryna Sekh,Ukraine
Valentyna Semenyuk-Samsonenko,Ukraine
Oksana Shachko,Ukraine
Svitlana Shatalova,Ukraine
Alexandra Shevchenko,Ukraine
Inna Shevchenko,Ukraine
Valentyna Shevchenko (politician),Ukraine
Alyona Shkrum,Ukraine
Liubov Shpak,Ukraine
Nelya Shtepa,Ukraine
Olena Shuliak,Ukraine
Viktoria Siumar,Ukraine
Zoriana Skaletska,Ukraine
Sofiia Fedyna,Ukraine
Yuliya Sokolovska,Ukraine
Olena Sotnyk,Ukraine
Inna Sovsun,Ukraine
Olha Stefanishyna,Ukraine
Olga Sukhenko,Ukraine
Liudmyla Suprun,Ukraine
Iryna Suslova,Ukraine
Yuliya Svitlychna,Ukraine
Yulia Svyrydenko,Ukraine
Oksana Syroyid,Ukraine
Iryna Sysoyenko,Ukraine
Yaryna Turchyn,Ukraine
