Iryna Farion
Svitlana Fomenko
Iryna Friz
Maria Gaidar
Kateryna Handziuk
Iryna Herashchenko (politician)
Olha Herasymyuk
Halyna Hereha
Hanna Herman
Hanna Hopko
Viktoriya Hryb
Liliya Hrynevych
Tetiana Hryshchenko
Anna Hutsol
Mariya Ionova
Oksana Kalietnik
Nina Karpachova
Nataliya Katser-Buchkovska
Viktoriya Kinzburska
Ivanna Klympush-Tsintsadze
Oksana Koliada
Olena Kondratiuk
Iryna Konstankevych
Olena Kopanchuk
Valentyna Korolenko
Natalia Korolevska
Paraska Korolyuk
Anna Kovalenko
Yevheniya Kravchuk
Iryna Kupreychyk
Oleksandra Kuzhel
Yulia Laputina
Maryna Lazebna
Hanna Lichman
Halyna Luhova
Olena Lukash
Valeriya Lutkovska
Iryna Lutsenko (politician)
Yuliya Lyovochkina
Olena Lys
Yulia Lytvynenko
Hanna Maliar
Lubomyra Mandziy
Mariya Chorna
Oksana Markarova
Maria Matios
Jaanika Merilo
Iryna Mudra
Galyna Mykhailiuk
Olena Netetska
Maryna Nikitina
Hanna Novosad
Zlata Ognevich
Hanna Onyschenko
Svitlana Onyshchuk
Larisa Opanasyuk
Mariya Orlyk
Lesya Orobets
Tetiana Ostrikova
Roksolana Pidlasa
Tetiana Plachkova
Viktoriya Valentynivna Podhorna
Iryna Podoliak
Anastasia Prikhodko
Natalia Prykhodko
Anastasiya Radina
Anna Romanova
Nataliia Romanova
Kira Rudik
Ruslana
Tetiana Rychkova
Olha Saladukha
Nadiya Savchenko
Iryna Sekh
Valentyna Semenyuk-Samsonenko
Oksana Shachko
Svitlana Shatalova
Alexandra Shevchenko
Inna Shevchenko
Valentyna Shevchenko (politician)
Alyona Shkrum
Liubov Shpak
Nelya Shtepa
Olena Shuliak
Viktoria Siumar
Zoriana Skaletska
Sofiia Fedyna
Yuliya Sokolovska
Olena Sotnyk
Inna Sovsun
Olha Stefanishyna
Olga Sukhenko
Liudmyla Suprun
Iryna Suslova
Yuliya Svitlychna
Yulia Svyrydenko
Oksana Syroyid
Iryna Sysoyenko
Yaryna Turchyn
