name,country
Leyla Piedayesh,Germany
Samira Samii,Germany
Jil Sander,Germany
Maria-Elisabeth Schaeffler,Germany
Caroline Scheufele,Germany
Madeleine Schickedanz,Germany
Carola Gräfin von Schmettow,Germany
Alexandra Schörghuber,Germany
Britta Seeger,Germany
Friede Springer,Germany
Regina Stegemann,Germany
Sybill Storz,Germany
Sylvia Ströher,Germany
Özlem Türeci,Germany
Hiltrud Werner,Germany
Cheyenne Westphal,Germany
Lencke Wischhusen,Germany
Bettina Würth,Germany
Sanae Abdi,Germany
Doris Achelwilm,Germany
Brigitte Adler,Germany
Katja Adler,Germany
Renate Adolph,Germany
Stephanie Aeffner,Germany
Gollaleh Ahmadi,Germany
Doris Ahnen,Germany
Ilse Aigner,Germany
Hamide Akbayir,Germany
Gökay Akbulut,Germany
Lale Akgün,Germany
Reem Alabali-Radovan,Germany
Ina Albowitz,Germany
Katrin Albsteiger,Germany
Alexandra Prinzessin von Hannover,Germany
Agnes Alpers,Germany
Irene Alt,Germany
Renata Alt,Germany
Britta Altenkamp,Germany
Luise Amtsberg,Germany
Kathrin Anders,Germany
Kerstin Andreae,Germany
Dagmar Andres,Germany
Gabriele Andretta,Germany
Eva von Angern,Germany
Ingrid Arndt-Brauer,Germany
Ayse Asar,Germany
Christine Aschenberg-Dugnus,Germany
Christel Augenstein,Germany
Sascha Karolin Aulepp,Germany
Azize Tank,Germany
Bela Bach,Germany
Carolin Bachmann,Germany
Lisa Badum,Germany
Heike Baehrens,Germany
Annalena Baerbock,Germany
Bettina Bähr-Losse,Germany
Ulrike Bahr,Germany
Dorothee Bär,Germany
Nezahat Baradari,Germany
Doris Barnett,Germany
Simone Barrientos,Germany
Bärbel Bas,Germany
Sabine Bätzing-Lichtenthäler,Germany
Nicole Bauer,Germany
Christina Baum,Germany
Brigitte Baumeister,Germany
Margarete Bause,Germany
Canan Bayram,Germany
Katharina Beck,Germany
Marieluise Beck,Germany
Lisa Becker,Germany
Cornelia Behm,Germany
Jessica Bießmann,Germany
Veronika Bellmann,Germany
Birgitt Bender,Germany
Silvia Bender,Germany
Sybille Benning,Germany
Rubina Berardo,Germany
Ute Berg,Germany
Sabine Bergmann-Pohl,Germany
Melanie Bernstein,Germany
Heiderose Berroth,Germany
Ute Bertram,Germany
Bärbel Beuermann,Germany
Petra Bierwirth,Germany
Daniela Billig,Germany
Karin Binder,Germany
Katharina Binz,Germany
Renate Blank,Germany
Heidrun Bluhm,Germany
Antje Blumenthal,Germany
Ann-Sophie Bohm-Eisenbrandt,Germany
Maria Böhmer,Germany
Julia Bonk,Germany
Simone Borchardt,Germany
